ts_code,trade_date,buy_elg_amount,circ_mv,fac_1
002698.SZ,20240115,147.02,1144349.6348,0.00012847472094985632
002747.SZ,20240115,909.72,1292650.9157,0.0007037630878924229
002937.SZ,20240115,0.0,685440.9997,0.0
002979.SZ,20240115,183.31,395128.8898,0.0004639245692533009
003001.SZ,20240115,0.0,90702.1322,0.0
003012.SZ,20240115,0.0,982343.7812,0.0
300063.SZ,20240115,1063.16,358893.0839,0.0029623306987332
300148.SZ,20240115,0.0,279041.8175,0.0
300154.SZ,20240115,247.22,230307.9125,0.0010734325074480452
300223.SZ,20240115,123.08,2359282.6142,5.2168400368488585e-05
300296.SZ,20240115,174.3,1112965.005,0.0001566086976831765
300425.SZ,20240115,0.0,320699.0336,0.0
300534.SZ,20240115,230.72,290065.4271,0.0007954067546300833
300690.SZ,20240115,14.7,190796.8046,7.7045315464366e-05
300757.SZ,20240115,248.08,734968.0,0.0003375385050777721
300814.SZ,20240115,0.0,155740.536,0.0
301267.SZ,20240115,1626.09,1027261.4055,0.00158293691488247
301277.SZ,20240115,0.0,100380.24,0.0
301315.SZ,20240115,162.12,108218.0,0.0014980871943669261
301383.SZ,20240115,993.12,167618.08,0.005924897839182981
600561.SH,20240115,77.47,195151.0848,0.0003969744778994946
600592.SH,20240115,211.53,415535.7138,0.0005090537178275144
600601.SH,20240115,526.34,1134319.7741,0.000464013774614493
600629.SH,20240115,135.45,469495.5001,0.0002885011676813726
600817.SH,20240115,0.0,490581.8243,0.0
600959.SH,20240115,501.35,1500215.3058,0.00033418536530171696
601188.SH,20240115,573.08,588197.7212,0.0009742982322863171
601336.SH,20240115,152.01,5947672.9977,2.555789466885337e-05
603338.SH,20240115,138.73,2650731.1466,5.2336503525808e-05
603368.SH,20240115,0.0,681201.3046,0.0
603636.SH,20240115,0.0,685911.3441,0.0
603668.SH,20240115,0.0,758874.8582,0.0
603733.SH,20240115,0.0,1080848.5686,0.0
603927.SH,20240115,251.26,1587880.0,0.0001582361387510391
603988.SH,20240115,0.0,259425.6,0.0
688128.SH,20240115,0.0,770977.0,0.0
688296.SH,20240115,0.0,96060.0608,0.0
688737.SH,20240115,0.0,234429.1311,0.0
002004.SZ,20240116,139.2,865842.5918,0.00016076825201058443
002098.SZ,20240116,0.0,240576.0,0.0
002194.SZ,20240116,145.6,463905.4075,0.0003138570873416689
002210.SZ,20240116,271.47,476358.9481,0.0005698853796759403
002272.SZ,20240116,16.07,216607.769,7.418939807279027e-05
002300.SZ,20240116,1825.08,636323.4662,0.0028681639086784315
002385.SZ,20240116,2297.65,1789515.9086,0.0012839505862775654
002444.SZ,20240116,431.7,2511987.325,0.00017185596268882446
002595.SZ,20240116,103.05,1533480.5123,6.720007145408052e-05
002698.SZ,20240116,134.3,1131728.1315,0.00011866807607052933
002747.SZ,20240116,281.0,1280849.477,0.00021938565385384469
002937.SZ,20240116,0.0,683697.6144,0.0
002979.SZ,20240116,143.15,390831.6751,0.00036627021073297857
